,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-328,17,73,58,84,82,72,41,0,84,0,9,5,5,42,31,73,55,0,12,0,58,15,0,73,71,39,146,8,202,101
hsa-mir-1910,0,9,8,0,11,0,12,0,7,0,0,0,0,0,6,9,0,7,0,0,13,0,0,8,9,6,9,0,23,19
hsa-mir-22,15132,28422,44021,65426,34828,11971,16563,2045,62733,1711,1350,11945,2260,9521,42739,41259,60530,2329,9542,9,38797,10476,46,40004,16230,53097,71938,10149,91124,58225
hsa-mir-132,34,44,70,115,42,43,27,0,115,0,0,16,6,17,80,122,121,10,21,0,59,21,0,65,33,74,69,24,113,55
hsa-mir-212,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
hsa-mir-195,111,68,116,174,362,468,105,7,82,0,0,20,0,106,322,31,586,9,23,0,193,23,0,260,280,300,240,50,183,0
hsa-mir-497,33,23,40,35,0,0,25,0,0,0,0,10,0,0,93,0,137,0,7,0,93,0,0,0,61,79,0,0,0,0
hsa-mir-324,41,25,116,54,0,0,28,0,92,0,0,0,0,61,108,42,81,11,20,0,55,0,0,38,58,56,59,43,62,0
hsa-mir-144,7578,0,24,0,24,0,106,33,313,36,0,36,0,51,514,0,1542,21,43,0,13,0,0,0,39,9707,0,0,0,0
hsa-mir-152,0,0,31,24,7,0,0,0,28,0,0,0,0,13,51,0,28,0,8,0,15,8,0,0,0,0,16,0,0,0
hsa-mir-10a,563,1181,692,2972,844,2224,589,134,5830,143,146,551,311,383,7005,6916,9298,113,1101,0,1165,662,0,3287,466,1084,2730,230,6224,7330
hsa-mir-3614,9,6,11,35,13,7,8,0,26,0,0,0,0,6,0,29,10,0,0,0,0,0,0,10,6,0,6,0,12,11
hsa-mir-142,54319,180102,235604,122768,246288,0,120035,6232,143632,0,6293,43638,4228,64383,233874,0,402117,11262,32717,0,237568,0,469,0,170567,317963,0,79190,356210,0
hsa-mir-454,129,625,854,334,405,508,268,33,752,17,8,131,40,146,544,285,625,32,74,0,621,138,0,349,232,470,509,158,866,280
hsa-mir-301a,174,506,881,853,326,265,230,23,1273,24,14,127,38,126,751,268,649,20,65,0,500,164,0,302,255,433,661,114,1096,588
hsa-mir-4524a,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-338,20,90,218,208,704,28,85,30,279,5,13,23,6,151,141,293,641,211,134,0,273,34,0,676,32,22,625,193,209,60
hsa-mir-199a-1,197,1328,511,2887,247,258,317,27,2660,56,25,245,35,369,1225,935,889,66,283,0,197,222,0,640,257,360,2296,117,6009,3005
hsa-mir-24-2,388,954,2502,1830,1499,1189,1143,106,1888,50,69,377,82,588,1592,750,2735,94,352,0,1097,220,0,1465,1120,1260,1649,0,828,832
hsa-mir-27a,4305,13162,63815,14804,17483,11689,9883,1673,12889,1241,0,5263,1495,3590,22117,8153,40973,1674,2894,24,46935,2623,139,16789,28259,18401,31336,17148,18222,10983
hsa-mir-23a,529,0,1712,0,1073,743,0,98,0,0,0,567,0,494,1904,0,1965,109,278,0,1012,0,0,1305,0,1322,0,323,0,0
